Description:,,,,,,,,,,,,,,,,,,,,,,
Source: https://doi.org/10.5061/dryad.9p8cz8wc6,,,,,,,,,,,,,,,,,,,,,,
"Citation: Acevedo, Miguel; Beaudrot, Lydia; Melendez-Ackerman, Elvia; Tremblay, Raymond (2020), Local extinction risk under climate change in a neotropical asymmetrically dispersed epiphyte, Dryad, Dataset, https://doi.org/10.5061/dryad.9p8cz8wc6",,,,,,,,,,,,,,,,,,,,,,
License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UID,x.coord,y.coord,z.coord,Phorophyte,X70199,X20100,X80100,X10101,X60101,X10102,X60102,X120202,X61003,X12404,X71704,X12205,X91705,X72406,X20307,X61507,X10208,Total_Moss_area
101,63.29515257,-85.25300844,21.60783993,TREES,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,16
102,62.51817743,-87.96264278,21.261731,TREES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,13
103,61.11221773,-88.74643445,21.53593602,TREES,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,10
104,60.47545239,-88.99487696,20.61194293,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,41
109,148.6875678,-193.8500225,46.90617865,TREES,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,109
110,146.5618842,-195.178297,46.7748154,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
111,145.4920999,-198.0905517,47.37071876,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
112,143.9282882,-199.135738,46.408815,TREES,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,62
113,154.471856,-195.9431899,47.8540375,TREES,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,,1,50
114,152.9319423,-195.5876728,48.16123998,TREES,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,35
115,153.8980985,-199.5657521,48.76850226,TREES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
116,153.3521663,-200.4340199,49.00800494,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
117,152.8179802,-186.7761867,43.99321226,ROCKS,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,31
118,151.4807844,-187.7125013,43.55580807,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,149.6468848,-187.930371,43.27591692,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,149.0421103,-188.0030412,43.50573488,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,152.9911404,-187.4974506,45.33138041,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31
122,153.2895167,-188.3892035,44.56990274,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,151.7439561,-189.2140524,43.95344365,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
124,150.0815028,-188.9165756,43.22907373,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,154.5610849,-189.4498229,44.52748423,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
126,154.6400768,-188.5469412,43.44736157,ROCKS,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0
127,155.269676,-190.9694014,43.74564045,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
129,153.704872,-190.1941175,45.18248423,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,71
130,152.4963169,-190.8918771,43.83484699,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
131,152.6264332,-192.6163306,43.88928935,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
